k,b,r,g,c,identifier,name,y,html,m
13,33,176,27,21,NP256,Crimson Red,100,B01B21,100
0,140,203,189,22,267-P,Colonial Yellow,51,CBBD8C,21
0,138,255,220,1,NP227,Corn Yellow,54,FFDC8A,13
0,111,246,235,6,NP217,Lemon Yellow,70,F6EB6F,1
0,215,255,245,1,NP247,Light Naples Yellow,17,FFF5D7,2
0,90,244,138,0,NP222,Burnt Orange,69,F48A5A,56
0,61,246,139,0,NP212,Orange,85,F68B3D,55
1,57,230,108,5,NP266,Pale Vermillion,88,E66C39,71
0,98,250,172,0,NP207,Chrome Yellow,69,FAAC62,38
0,78,243,81,0,NP226,Scarlet,68,F3514E,83
0,117,255,215,1,NP257,Cadmium Yellow Deep,64,FFD775,15
1,72,216,17,9,NP206,Carmine Madder,67,D81148,100
0,176,33,101,89,NP275,Deep Blue,1,2165B0,62
1,163,46,97,88,NP225,Iron Blue,7,2E61A3,65
5,141,62,94,84,NP345,Harbor Blue,22,3E5E8D,65
19,112,4,85,95,NP365,Ceylon Blue,38,045570,60
0,251,254,255,0,NP211,White,1,EEEBEB,0
0,251,252,250,1,NP239,Warm Light Grey,1,EEEBEB,1
0,235,232,236,8,NP249,Warm Very Light Grey,6,E8ECEB,4
0,215,199,208,21,NP299,Cold Very Light Grey,10,C7D0D7,12
0,194,255,220,0,NP276,Flesh Pink,22,FFDCC2,15
0,211,240,208,4,NP366,Shell Pink,9,F0D0D3,20
0,177,240,191,4,NP376,Peach,25,F0BFB1,28
0,104,230,188,10,NP243,Light Ochre,70,E6BC68,25
3,43,204,118,17,NP233,Raw Sienna,99,CC762B,61
4,120,173,136,32,NP313,Nut Brown,50,AD8878,46
6,85,186,120,24,NP333,Titian Brown,71,BA7855,57
10,68,181,89,22,NP213,Sanguine,77,B55944,74
23,54,149,72,29,NP343,Rust,81,954836,77
19,74,150,93,33,NP203,Burnt Sienna,70,965D4A,65
46,47,97,61,44,NP363,Garnet,75,613D2F,69
54,38,88,48,43,NP346,Burgundy,75,583026,74
58,34,82,42,43,NP353,Cordovan,75,522A22,76
33,70,106,84,49,NP283,Van Dyke Brown,67,6A5446,58
36,65,105,77,47,NP253,Cocoa Brown,67,694D41,62
38,71,86,75,58,NP293,Sepia,61,564B47,60
25,87,106,98,55,NP223,Burnt Umber,60,6A6257,52
1,167,152,159,43,NP289,Cold Light Grey,28,989FA7,32
5,141,104,127,63,NP279,Cold Medium Grey,35,687F8D,42
10,126,107,117,61,NP209,Warm Deep Grey,41,6B757E,47
11,125,106,116,62,NP219,Warm Medium Grey,41,6A747D,47
27,96,68,86,74,NP259,Cold Deep Grey,48,455660,57
89,3,1,0,75,NP229,Black,65,010003,69
46,65,78,4,63,NP324,Plum,38,4E0441,100
30,64,126,80,38,NP263,Indian Red,71,7E5040,66
10,109,152,87,38,NP273,Tuscan Red,41,98576D,74
11,103,154,74,37,NP236,Carmine,41,9A4A67,81
9,95,171,92,28,NP416,Dark Rose,55,AB5C5F,72
3,85,199,66,17,NP406,Flamingo,60,C74255,88
0,111,242,65,0,NP336,Carnival Red,36,F2416F,89
0,134,241,92,0,NP306,Orchid Pink,23,F15C86,79
0,101,245,115,0,NP296,Salmon Pink,57,F57365,69
0,173,240,115,1,NP246,Rose Pink,0,F073AD,70
0,153,247,172,1,NP286,Madder Pink,34,F7AC99,39
0,156,211,155,16,NP204,Sandlewood,30,D39B9C,43
1,130,203,136,20,NP383,Coral,42,CB8882,53
1,148,193,128,24,NP316,Old Rose,27,C18094,57
0,178,184,127,28,NP314,Old Lilac,3,B87FB2,57
1,132,158,61,42,NP234,Red Violet,16,9E3D84,90
0,166,157,96,42,NP304,Orchid,1,9D60A6,73
0,162,170,88,35,NP214,Persian Rose,0,AA58A2,78
3,131,151,81,44,NP216,Maroon,23,975183,80
0,150,112,71,67,NP254,Hyacinth Violet,4,704796,85
0,151,71,67,87,NP224,Violet,2,474397,87
0,218,255,244,1,NP277,Ivory,15,FFF4DA,3
0,234,87,195,57,NP235,Light Blue,2,57C3EA,3
0,203,79,191,63,NP245,Light Turquoise,21,4FBFCB,2
0,188,4,169,76,NP215,Turquoise Blue,25,04A9BC,12
1,167,5,147,82,NP205,Peacock Blue,30,0593A7,25
0,198,6,143,80,NP255,Azure Blue,5,068FC6,31
0,195,77,131,72,NP265,Ultramarine Blue,0,4D83C3,43
8,132,7,83,98,NP415,Tile Blue,25,075384,71
7,138,46,68,87,NP405,Blue Haze,26,2E628A,59
22,102,5,53,100,NP285,Indigo Blue,33,053566,86
31,92,3,35,100,NP244,Blue Violet,33,03235C,92
30,89,4,47,100,NP305,Spruce Blue,38,042F59,87
57,56,23,45,88,NP295,Prussian Blue,55,172D38,68
0,83,204,221,24,NP268,Light Sap Green,83,CCDD53,0
0,93,200,211,25,NP348,Endive Green,79,C8D35D,5
0,102,147,194,47,NP208,Sap Green,79,93C266,4
0,135,126,182,54,NP448,Eden Green,59,7EB687,10
0,162,114,198,55,NP218,Veronese Green,46,72C6A2,0
0,211,134,205,46,NP288,Pistachio Green,17,86CDD3,2
0,186,98,198,58,NP418,Neptune Green,33,62C6BA,0
1,121,113,164,60,NP408,Fern Green,64,71A479,19
1,136,65,164,73,NP228,Hookers Green,57,41A488,14
1,142,10,166,79,NP238,Emerald Green,55,0AA68E,10
0,158,29,169,77,NP258,Viridian Green,45,1DA99E,10
1,165,67,157,72,NP368,Smoke Green,34,439DA5,21
2,136,54,150,77,NP278,Dark Green,52,369688,21
13,60,15,126,88,NP378,Erin Green,100,0F7E3C,26
33,83,24,86,88,NP298,Bottle Green,61,185653,47
14,98,118,124,54,NP248,Olive Green,64,767C62,39
17,81,115,122,54,NP308,Palm Green,76,737A51,38
4,102,167,154,36,NP318,Citrine Green,69,A79A66,33
1,104,186,168,29,NP428,Beech Green,70,BAA868,29
